cell_id,row,col,R_mean_2020,R_std_2020,G_mean_2020,G_std_2020,B_mean_2020,B_std_2020,NDVI_1_mean_2020,NDVI_1_std_2020,NDVI_2_mean_2020,NDVI_2_std_2020,NDVI_3_mean_2020,NDVI_3_std_2020,SWIR_1_mean_2020,SWIR_1_std_2020,SWIR_2_mean_2020,SWIR_2_std_2020,SWIR_3_mean_2020,SWIR_3_std_2020
66,1,26,13.274399757385254,2.4079253673553467,23.68819999694824,4.26963472366333,10.703499794006348,2.0573740005493164,0.2813000082969665,2.778195381164551,128.1385955810547,1.3776755332946775,0.0,0.0,36.1702995300293,8.2254056930542,196.7194976806641,36.47648620605469,13.78030014038086,2.4143388271331787
67,1,27,13.50629997253418,3.853746175765991,24.48760032653809,5.877520561218262,10.596400260925291,2.9404942989349365,0.5087000131607056,4.400082588195801,128.2532958984375,2.1911957263946533,0.0,0.0,41.81100082397461,13.245477676391602,209.5260009765625,43.57265853881836,14.027299880981444,3.860667943954468
68,1,28,29.27090072631836,19.194210052490234,41.981201171875,15.249053955078123,20.937599182128903,10.454773902893066,14.246800422668455,45.98042297363281,134.8009033203125,21.51776885986328,0.0,0.0,71.44190216064453,29.473329544067383,249.93739318847656,18.72882461547852,29.79540061950684,19.185321807861328
69,1,29,54.079498291015625,35.75728225708008,63.11199951171875,17.70749855041504,32.49330139160156,15.597805976867676,74.01010131835938,100.92782592773438,160.7187042236328,43.87384796142578,0.0,0.0,118.86630249023438,40.481292724609375,245.902099609375,18.21268081665039,54.60449981689453,35.74974060058594
70,1,30,41.68280029296875,45.046630859375,44.60540008544922,28.24468994140625,23.84650039672852,20.483327865600582,58.08629989624024,101.68456268310548,151.07699584960938,40.47394561767578,0.0,0.0,88.40249633789062,65.28300476074219,234.2512969970703,26.84033203125,42.19100189208984,45.03584289550781
71,1,31,16.28660011291504,8.025388717651367,28.247499465942383,12.731890678405762,12.142800331115724,5.646274089813232,1.823199987411499,13.678791999816896,128.90780639648438,6.813009738922119,0.0,0.0,46.09590148925781,19.64238929748535,209.18899536132807,39.344276428222656,16.804000854492188,8.030888557434082
72,1,32,41.493900299072266,34.16189193725586,48.42010116577149,25.03427124023437,24.194299697875977,15.816812515258787,62.94449996948242,95.2803192138672,155.69110107421875,41.22370529174805,0.0,0.0,86.47260284423828,53.52863311767578,214.58970642089844,38.792259216308594,41.98149871826172,34.162044525146484
73,1,33,16.29450035095215,9.228519439697266,24.358699798583984,8.986859321594238,11.571999549865724,5.404758930206299,6.729800224304199,27.435400009155277,131.3383026123047,13.568140983581545,0.0,0.0,37.534698486328125,17.497045516967773,177.5550994873047,33.39638900756836,16.795799255371094,9.237017631530762
74,1,34,31.203800201416016,27.40620231628418,37.41460037231445,23.54488754272461,19.377500534057617,14.34313678741455,38.58509826660156,67.97785949707031,146.8719940185547,32.84457778930664,0.0,0.0,66.3427963256836,47.19644546508789,199.93020629882807,40.86303329467773,31.70330047607422,27.414623260498047
75,1,35,50.52410125732422,29.18465614318848,55.91600036621094,21.75546264648437,31.07929992675781,16.5107479095459,85.73090362548828,85.58074951171875,169.9633026123047,41.46754455566406,0.0,0.0,106.5164031982422,40.61771774291992,231.08270263671875,30.282833099365234,51.03400039672852,29.196142196655277
76,1,36,49.12229919433594,32.015899658203125,59.972900390625,23.406042098999023,33.7505989074707,20.325210571289062,62.458099365234375,88.62759399414062,156.2030029296875,39.58778762817383,0.0,0.0,96.05789947509766,35.41739654541016,238.10699462890625,29.249584197998047,49.63529968261719,32.02252960205078
77,1,37,23.369600296020508,15.70705509185791,33.70109939575195,14.871797561645508,17.686500549316406,8.165698051452637,12.145400047302246,36.398170471191406,134.05349731445312,18.124282836914062,0.0,0.0,52.463600158691406,32.35679626464844,200.84930419921875,41.16383361816406,23.882299423217773,15.700039863586426
78,1,38,16.30299949645996,2.820778608322144,25.204599380493164,3.401578664779663,13.145500183105469,2.077722311019897,3.0969998836517334,8.614858627319336,129.53810119628906,4.293198108673096,0.0,0.0,32.8843994140625,6.675195217132568,168.5478057861328,19.415306091308597,16.82029914855957,2.814286470413208
79,1,39,16.577777862548828,6.472227096557617,24.63777732849121,8.12542724609375,12.37600040435791,4.781627178192139,5.0517778396606445,12.90797233581543,130.5217742919922,6.432122230529785,0.0,0.0,34.09866714477539,12.841514587402344,164.55221557617188,27.554855346679688,17.100221633911133,6.477307319641113
80,2,0,113.94629669189452,46.051666259765625,92.24710083007812,25.4945011138916,60.1078987121582,21.20729255676269,189.0970001220703,92.5998992919922,203.7554931640625,40.96653366088867,0.0,0.0,163.89239501953125,61.10660171508789,246.5117034912109,18.07416534423828,114.44719696044922,46.04626083374024
81,2,1,78.72799682617188,38.33854675292969,75.15959930419922,24.52430534362793,50.99879837036133,22.583105087280277,142.79150390625,97.3590316772461,188.8365020751953,42.021881103515625,0.0,0.0,131.439697265625,47.44813537597656,232.0469970703125,31.3731689453125,79.21939849853516,38.34275436401367
82,2,2,70.94090270996094,40.32148361206055,68.8323974609375,25.24092102050781,44.44150161743164,21.78190422058105,115.64029693603516,97.52965545654295,177.6793975830078,41.39534759521485,0.0,0.0,125.3123016357422,57.00449752807617,232.34249877929688,52.00407791137695,71.43399810791016,40.328269958496094
83,2,3,61.9463996887207,30.22226905822754,64.62359619140625,21.15494537353516,39.0791015625,18.846284866333008,87.01200103759766,75.94509887695312,169.6977996826172,35.41029739379883,0.0,0.0,121.4271011352539,41.34003448486328,245.9134063720703,30.095821380615234,62.45880126953125,30.220081329345703
84,2,4,42.14810180664063,36.377201080322266,52.37799835205078,31.693471908569336,32.848899841308594,32.108699798583984,48.20610046386719,77.61373901367188,148.03089904785156,32.733909606933594,0.0,0.0,88.18609619140625,36.16647338867188,243.1049041748047,22.19487190246582,42.63740158081055,36.33500289916992
85,2,5,85.5519027709961,41.99094009399414,76.52799987792969,27.965293884277344,52.61259841918945,25.13567352294922,155.99180603027344,100.26384735107422,189.82969665527344,40.77997589111328,0.0,0.0,146.50259399414062,51.64764404296875,232.94320678710935,26.976146697998047,86.04229736328125,41.98514938354492
