cell_id,row,col,R_mean_diff,R_std_diff,G_mean_diff,G_std_diff,B_mean_diff,B_std_diff,NDVI_1_mean_diff,NDVI_1_std_diff,NDVI_2_mean_diff,NDVI_2_std_diff,NDVI_3_mean_diff,NDVI_3_std_diff,SWIR_1_mean_diff,SWIR_1_std_diff,SWIR_2_mean_diff,SWIR_2_std_diff,SWIR_3_mean_diff,SWIR_3_std_diff
74,1,34,27.407899856567383,29.698713302612305,34.069698333740234,20.349624633789062,18.061599731445312,13.89599323272705,26.67140007019043,68.23741912841797,139.8426971435547,29.803529739379883,0.0,0.0,60.537200927734375,42.9959831237793,198.73260498046875,41.08888244628906,27.90130043029785,29.695199966430664
75,1,35,53.1879997253418,31.902402877807617,54.59550094604492,21.92831802368164,32.96889877319336,18.714149475097656,96.50550079345705,94.58235931396484,174.06329345703125,44.39653015136719,0.0,0.0,107.37229919433594,39.767356872558594,226.07369995117188,32.6498908996582,53.70840072631836,31.89582633972168
76,1,36,58.52320098876953,35.11469268798828,66.84750366210938,25.67499351501465,45.12910079956055,23.328763961791992,85.7343978881836,81.53660583496094,166.43789672851562,35.20027160644531,0.0,0.0,123.29460144042967,42.3072509765625,240.45770263671875,26.70054817199707,59.03110122680664,35.10633087158203
77,1,37,30.34670066833496,18.54889488220215,41.33639907836914,15.309005737304688,27.03319931030273,9.492813110351562,30.58289909362793,42.61760711669922,143.2218017578125,21.21861457824707,0.0,0.0,68.40959930419922,40.32988739013672,206.6217041015625,35.94423294067383,30.87649917602539,18.535179138183597
78,1,38,20.87879943847656,4.147277355194092,32.38209915161133,3.786066293716431,21.85269927978516,2.468846559524536,16.676000595092773,17.402690887451172,136.29269409179688,8.670145988464355,0.0,0.0,42.20949935913086,6.8780670166015625,175.83619689941406,17.260635375976562,21.396299362182617,4.158466815948486
79,1,39,23.434223175048828,20.425580978393555,33.685333251953125,15.175349235534668,22.45244407653809,10.970919609069824,22.2277774810791,33.81267166137695,138.31088256835938,12.752289772033691,0.0,0.0,46.43977737426758,24.75971984863281,175.35867309570312,24.663671493530277,23.951555252075195,20.421751022338867
80,2,0,109.76010131835938,63.30436706542969,95.20790100097656,36.39842224121094,60.44150161743164,28.930105209350582,140.4864044189453,107.21119689941406,174.18240356445312,37.08183288574219,0.0,0.0,168.32369995117188,67.61930847167969,252.97830200195312,9.177124977111816,110.26499938964844,63.29859161376953
81,2,1,102.43659973144533,51.45766067504883,80.52680206298828,29.168607711791992,55.2239990234375,23.763675689697266,180.51199340820312,91.63829040527344,197.79049682617188,37.55522918701172,0.0,0.0,169.28619384765625,53.4428825378418,230.9698944091797,33.1278190612793,102.9446029663086,51.45791244506836
82,2,2,84.92900085449219,52.78691482543945,75.23889923095703,30.31821632385254,48.10530090332031,24.43231010437012,151.04690551757812,99.24779510498048,180.76980590820312,46.79840850830078,0.0,0.0,146.3665008544922,63.59114837646485,224.77630615234372,57.81536865234375,85.42169952392578,52.79214477539063
83,2,3,63.0723991394043,41.548606872558594,59.69260025024414,23.96163749694824,35.88010025024414,18.51641845703125,102.35250091552734,93.49262237548828,176.3990936279297,44.81516647338867,0.0,0.0,125.97059631347656,55.066062927246094,241.8535003662109,36.40983581542969,63.55419921875,41.554237365722656
84,2,4,42.23540115356445,39.83831024169922,50.1265983581543,34.105892181396484,31.76000022888184,34.49652862548828,57.92990112304688,85.4237060546875,151.92709350585938,36.34819412231445,0.0,0.0,90.91600036621094,35.626426696777344,228.21270751953125,31.96122169494629,42.72800064086914,39.79751586914063
85,2,5,86.94020080566406,46.25589370727539,75.45269775390625,30.31600570678711,51.3474006652832,26.05431365966797,159.85000610351562,87.9439926147461,193.69810485839844,36.5082893371582,0.0,0.0,154.41319274902344,49.56306076049805,230.0417938232422,29.017120361328125,87.44629669189453,46.248268127441406
86,2,6,125.75869750976562,52.55864334106445,92.36859893798828,29.90304183959961,61.19409942626953,22.866193771362305,202.53160095214844,73.95394897460938,205.44859313964844,28.657678604125977,0.0,0.0,197.2198944091797,48.29192352294922,244.5531005859375,21.03788375854492,126.2385025024414,52.551025390625
87,2,7,104.45899963378906,46.48274230957031,83.38059997558594,26.56698608398437,54.8468017578125,21.97882080078125,174.12060546875,82.77066802978516,200.1949005126953,32.60176086425781,0.0,0.0,180.91720581054688,53.00887680053711,247.7635955810547,14.319564819335938,104.96309661865234,46.47972106933594
88,2,8,91.04720306396484,41.54230880737305,79.23470306396484,36.48397064208984,59.60319900512695,37.30289459228516,196.03610229492188,80.39362335205078,193.9720001220703,42.82874298095703,0.0,0.0,158.76629638671875,43.40593338012695,198.3623962402344,43.93095779418945,91.5333023071289,41.52895736694336
89,2,9,83.48819732666016,50.27425384521485,76.60040283203125,42.27327346801758,58.29249954223633,42.693695068359375,169.32870483398438,101.33467864990234,182.5012969970703,44.92631530761719,0.0,0.0,135.7830047607422,49.87315368652344,203.34829711914065,43.21075439453125,83.9751968383789,50.240966796875
