cell_id,row,col,min_lon,min_lat,max_lon,max_lat,lat,lon,quadrant,model,split,fold_id,true_delta_builtup,true_delta_water,true_delta_other,pred_delta_builtup,pred_delta_water,pred_delta_other,unc_delta_builtup,unc_delta_water,abs_error_delta_builtup,abs_error_delta_water,true_change_flag,pred_change_flag,confidence_label
44,1,4,10.98010771779291,49.54402324667246,10.989090870634104,49.5498517398657,49.546937493269084,10.984599294213506,NW,Linear Regression,spatial_group_kfold,4,-0.68,0.0,0.68,1.071218061165932,0.14826431867088471,-1.2194823798368168,0.16358707063780736,0.0422997607786641,1.751218061165932,0.14826431867088471,0,1,medium
45,1,5,10.989090870634104,49.54402324667246,10.9980740234753,49.5498517398657,49.546937493269084,10.993582447054703,NW,Linear Regression,spatial_group_kfold,4,2.42,0.0,-2.42,1.335578868895954,0.03950140211406212,-1.375080271010016,0.23662458345487397,0.02034293682352028,1.084421131104046,0.03950140211406212,1,1,low
46,1,6,10.9980740234753,49.54402324667246,11.007057176316495,49.5498517398657,49.546937493269084,11.002565599895899,NW,Linear Regression,spatial_group_kfold,4,0.0,0.0,-0.0,-0.41996240793845613,0.026503951289989152,0.39345845664846696,0.20117459349904365,0.04481225084431578,0.41996240793845613,0.026503951289989152,0,0,low
47,1,7,11.007057176316495,49.54402324667246,11.01604032915769,49.5498517398657,49.546937493269084,11.011548752737092,NW,Linear Regression,spatial_group_kfold,4,0.08,0.0,-0.08,-0.4987729825897414,0.05060604996338987,0.44816693262635154,0.16971514200378476,0.05220408532932479,0.5787729825897414,0.05060604996338987,0,0,medium
48,1,8,11.01604032915769,49.54402324667246,11.025023481998886,49.5498517398657,49.546937493269084,11.020531905578288,NW,Linear Regression,spatial_group_kfold,4,3.43,0.0,-3.43,1.6133503184393803,0.061785105913407225,-1.6751354243527874,0.1214630671810893,0.03705277076263164,1.81664968156062,0.061785105913407225,1,1,high
49,1,9,11.025023481998886,49.54402324667246,11.034006634840082,49.5498517398657,49.546937493269084,11.029515058419484,NW,Linear Regression,spatial_group_kfold,4,1.69,0.0,-1.69,1.2271046684088267,0.05200469551539991,-1.2791093639242266,0.13257277130805128,0.019098416510607907,0.46289533159117324,0.05200469551539991,1,1,medium
50,1,10,11.034006634840082,49.54402324667246,11.042989787681275,49.5498517398657,49.546937493269084,11.038498211260679,NW,Linear Regression,spatial_group_kfold,3,0.02,0.0,-0.02,-0.3210399302881355,-0.16908989667341712,0.4901298269615526,0.12352182288505562,0.039943582149950835,0.3410399302881355,0.16908989667341712,0,0,high
51,1,11,11.042989787681275,49.54402324667246,11.051972940522472,49.5498517398657,49.546937493269084,11.047481364101873,NW,Linear Regression,spatial_group_kfold,3,0.0,0.61,-0.61,0.27331999025458925,-0.021342561391864228,-0.251977428862725,0.10133910736758839,0.03237961378124297,0.27331999025458925,0.6313425613918642,0,0,high
52,1,12,11.051972940522472,49.54402324667246,11.060956093363668,49.5498517398657,49.546937493269084,11.05646451694307,NW,Linear Regression,spatial_group_kfold,3,0.0,0.0,-0.0,0.26315858363964356,-0.009983676448403441,-0.25317490719124014,0.10469114702647597,0.026883578208897738,0.26315858363964356,0.009983676448403441,0,0,high
53,1,13,11.060956093363668,49.54402324667246,11.069939246204862,49.5498517398657,49.546937493269084,11.065447669784266,NW,Linear Regression,spatial_group_kfold,3,-0.03,0.0,0.03,0.254329107101132,-0.026561029562359652,-0.22776807753877235,0.09457169764695919,0.03510788692370769,0.284329107101132,0.026561029562359652,0,0,high
54,1,14,11.069939246204862,49.54402324667246,11.078922399046055,49.5498517398657,49.546937493269084,11.074430822625459,NW,Linear Regression,spatial_group_kfold,3,0.0,0.0,-0.0,0.2085799178136788,0.022862619194365365,-0.23144253700804415,0.14745430086604178,0.03799235151048633,0.2085799178136788,0.022862619194365365,0,0,medium
